workload,config,runs,cycles_n,cycles_mean,cycles_std,cycles_ci95,mem_cycles_mean,arith_cycles_mean,hit_rate_mean,hit_rate_std,hit_rate_ci95,ipc_mean,ipc_std,ipc_ci95,prefetch_accuracy_mean,prefetch_accuracy_std,prefetch_accuracy_ci95,speedup_mean,speedup_std,speedup_ci95,speedup_min,speedup_max
kv_cache_append,nn,6,6,49274.5,1399.3882592047141,1119.7438144504306,47691.5,0.0,0.27447883765003156,0.022666930029070304,0.018137321451486627,0.0321482275640994,0.0009331504925014959,0.0007466759028861252,0.6138643899344921,0.05380940894072922,0.043056494453410275,1.338487291405346,0.03885159991142679,0.03108775452142688,1.2990125549401816,1.4071780857014753
kv_cache_append,stride,6,6,33538.0,0.0,0.0,31955.0,0.0,0.5293746051800379,0.0,0.0,0.04720019082831415,0.0,0.0,0.6283987915407855,0.0,0.0,1.965173832667422,0.0,0.0,1.965173832667422,1.965173832667422
random_read,baseline,6,6,74083.0,0.0,0.0,72083.0,0.0,0.10150000000000002,1.5202354861220293e-17,1.2164417350911638e-17,0.026996746891999514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,berti,6,6,75682.0,0.0,0.0,73682.0,0.0,0.081,0.0,0.0,0.026426362939668612,0.0,0.0,0.037211740041928724,0.0,0.0,0.9788721228297349,0.0,0.0,0.9788721228297349,0.9788721228297349
random_read,nextline,6,6,74356.0,0.0,0.0,72356.0,0.0,0.09799999999999999,1.5202354861220293e-17,1.2164417350911638e-17,0.026897627629243106,3.800588715305073e-18,3.0411043377279095e-18,0.055928411633109625,7.601177430610146e-18,6.082208675455819e-18,0.9963284738286083,0.0,0.0,0.9963284738286083,0.9963284738286083
random_read,nn,6,6,74083.0,0.0,0.0,72083.0,0.0,0.10150000000000002,1.5202354861220293e-17,1.2164417350911638e-17,0.026996746891999514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
random_read,stride,6,6,75604.0,0.0,0.0,73604.0,0.0,0.082,0.0,0.0,0.026453626792233214,0.0,0.0,0.04075067024128686,0.0,0.0,0.9798820168245065,1.2161883888976234e-16,9.73153388072931e-17,0.9798820168245066,0.9798820168245066
sequential_read,baseline,6,6,13750.0,0.0,0.0,11750.0,0.0,0.875,0.0,0.0,0.14545454545454548,3.0404709722440586e-17,2.4328834701823276e-17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
sequential_read,berti,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
sequential_read,nextline,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
sequential_read,nn,6,6,4143.0,20.139513400278567,16.114966956218062,2143.0,0.0,0.9981666666666668,0.00025819888974719,0.00020660214046435725,0.4827515106148057,0.0023540872922594614,0.0018836621408285536,0.9959568586478603,8.430158343601347e-06,6.745531554945246e-06,3.318916635476789,0.016184350134283865,0.012950177218196362,3.3084696823869106,3.3398105416565462
sequential_read,stride,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
token_stream,baseline,6,6,13750.0,0.0,0.0,11750.0,0.0,0.875,0.0,0.0,0.14545454545454548,3.0404709722440586e-17,2.4328834701823276e-17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
token_stream,berti,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
token_stream,nextline,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
token_stream,nn,6,6,4247.0,47.23134552392087,37.7929474902395,2247.0,0.0,0.9968333333333335,0.0006055300708195111,0.0004845249678235935,0.47096916674325917,0.005235274720264337,0.004189092231126925,0.9959127230662004,2.0236746041119324e-05,1.619276927264309e-05,3.237913021359907,0.03599251370181712,0.028800009088997453,3.188775510204082,3.2777115613825982
token_stream,stride,6,6,4039.0,0.0,0.0,2039.0,0.0,0.9995000000000002,1.2161883888976234e-16,9.73153388072931e-17,0.49517207229512256,0.0,0.0,0.9960000000000001,1.2161883888976234e-16,9.73153388072931e-17,3.4043079970289676,0.0,0.0,3.4043079970289676,3.4043079970289676
