instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_requested,prefetch_redundant,prefetch_used,prefetch_accuracy,prefetch_coverage,prefetch_timeliness,prefetch_late,prefetch_dropped,prefetch_useful_hits,prefetch_pollution_misses,prefetch_pollution_rate,demand_only_hits,demand_only_misses,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
2000,11215,0.17833259028087384,5.6075,0.9075,1816,2000,184,1815,0.9994493392070485,0.9075,1.0,0,0,1815,0,0.0,0,2000,9215,0,0.11565598906599917,2,2,strided_read,nn,82000,7.311636201515827
2000,43984,0.045471080392870136,21.992,0.5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1000,1000,41984,0,0.003377010056283325,2,2,mixed_read_write,baseline,43984,1.0
2000,5062,0.3951007506914263,2.531,0.999,999,2000,1001,998,0.998998998998999,0.998,1.0,0,0,998,0,0.0,1000,1000,3062,0,0.0037769142363686115,2,2,mixed_read_write,stride,43984,8.689055709205848
2000,43867,0.04559235872067841,21.9335,0.5015,3,8,5,3,1.0,0.003,1.0,0,0,3,0,0.0,1000,1000,41867,0,0.10415290531818755,2,2,mixed_read_write,nn,43984,1.0026671529851596
2000,74083,0.026996746891999514,37.0415,0.1015,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,203,1797,72083,0,0.0037679301749449223,2,2,random_read,baseline,74083,1.0
2000,75604,0.026453626792233214,37.802,0.082,1862,2000,138,74,0.0397422126745435,0.041179744017807454,1.0,0,0,74,113,0.0565,203,1797,73604,0,0.005059075076133013,2,2,random_read,stride,74083,0.9798820168245066
2000,74122,0.026982542295135047,37.061,0.101,5,8,3,0,0.0,0.0,0.0,0,0,0,1,0.0005,203,1797,72122,0,0.10926374391419813,2,2,random_read,nn,74083,0.9994738404252449
2000,43780,0.04568296025582458,21.89,0.49,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,980,1020,41780,0,0.0032558016246184707,2,2,phased_switch,baseline,43780,1.0
2000,40075,0.049906425452276984,20.0375,0.5375,1053,2000,947,155,0.14719848053181386,0.1480392156862745,1.0,0,0,151,56,0.028,980,1020,38075,0,0.004143554047914222,2,2,phased_switch,stride,43780,1.0924516531503432
2000,39334,0.050846595820409825,19.667,0.547,182,995,813,120,0.6593406593406593,0.11764705882352941,1.0,0,0,120,6,0.003,980,1020,37334,0,0.11147956116474234,2,2,phased_switch,nn,43780,1.1130319825087711
