label,seed,workload,config,cycles,hit_rate
median_cap64,7,kv_cache_append,baseline,65908,0.00505369551484523
median_cap64,7,kv_cache_append,stride,33538,0.5293746051800379
median_cap64,7,kv_cache_append,nn,64465,0.028427037271004423
median_cap64,7,embedding_lookup,baseline,17143,0.8315
median_cap64,7,embedding_lookup,stride,9109,0.9345
median_cap64,7,embedding_lookup,nn,11137,0.9085
median_cap64,7,agent_rag,baseline,17026,0.833
median_cap64,7,agent_rag,stride,7939,0.9495
median_cap64,7,agent_rag,nn,8797,0.9385
median_cap64,7,token_stream,baseline,13750,0.875
median_cap64,7,token_stream,stride,4039,0.9995
median_cap64,7,token_stream,nn,4234,0.997
median_cap16,0,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,0,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,0,kv_cache_append,nn,50425,0.2558433354390398
median_cap16,0,embedding_lookup,baseline,17143,0.8315
median_cap16,0,embedding_lookup,stride,9109,0.9345
median_cap16,0,embedding_lookup,nn,10591,0.9155
median_cap16,0,agent_rag,baseline,17026,0.833
median_cap16,0,agent_rag,stride,7939,0.9495
median_cap16,0,agent_rag,nn,8719,0.9395
median_cap16,0,token_stream,baseline,13750,0.875
median_cap16,0,token_stream,stride,4039,0.9995
median_cap16,0,token_stream,nn,4234,0.997
median_cap16,1,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,1,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,1,kv_cache_append,nn,49294,0.27416298168035375
median_cap16,1,embedding_lookup,baseline,17143,0.8315
median_cap16,1,embedding_lookup,stride,9109,0.9345
median_cap16,1,embedding_lookup,nn,10552,0.916
median_cap16,1,agent_rag,baseline,17026,0.833
median_cap16,1,agent_rag,stride,7939,0.9495
median_cap16,1,agent_rag,nn,8602,0.941
median_cap16,1,token_stream,baseline,13750,0.875
median_cap16,1,token_stream,stride,4039,0.9995
median_cap16,1,token_stream,nn,4273,0.9965
median_cap16,2,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,2,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,2,kv_cache_append,nn,50737,0.25078963992419456
median_cap16,2,embedding_lookup,baseline,17143,0.8315
median_cap16,2,embedding_lookup,stride,9109,0.9345
median_cap16,2,embedding_lookup,nn,10513,0.9165
median_cap16,2,agent_rag,baseline,17026,0.833
median_cap16,2,agent_rag,stride,7939,0.9495
median_cap16,2,agent_rag,nn,8719,0.9395
median_cap16,2,token_stream,baseline,13750,0.875
median_cap16,2,token_stream,stride,4039,0.9995
median_cap16,2,token_stream,nn,4195,0.9975
median_cap16,3,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,3,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,3,kv_cache_append,nn,46837,0.3139608338597599
median_cap16,3,embedding_lookup,baseline,17143,0.8315
median_cap16,3,embedding_lookup,stride,9109,0.9345
median_cap16,3,embedding_lookup,nn,10396,0.918
median_cap16,3,agent_rag,baseline,17026,0.833
median_cap16,3,agent_rag,stride,7939,0.9495
median_cap16,3,agent_rag,nn,8680,0.94
median_cap16,3,token_stream,baseline,13750,0.875
median_cap16,3,token_stream,stride,4039,0.9995
median_cap16,3,token_stream,nn,4312,0.996
median_cap16,4,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,4,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,4,kv_cache_append,nn,49606,0.26910928616550855
median_cap16,4,embedding_lookup,baseline,17143,0.8315
median_cap16,4,embedding_lookup,stride,9109,0.9345
median_cap16,4,embedding_lookup,nn,10552,0.916
median_cap16,4,agent_rag,baseline,17026,0.833
median_cap16,4,agent_rag,stride,7939,0.9495
median_cap16,4,agent_rag,nn,8797,0.9385
median_cap16,4,token_stream,baseline,13750,0.875
median_cap16,4,token_stream,stride,4039,0.9995
median_cap16,4,token_stream,nn,4195,0.9975
median_cap16,5,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,5,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,5,kv_cache_append,nn,48748,0.2830069488313329
median_cap16,5,embedding_lookup,baseline,17143,0.8315
median_cap16,5,embedding_lookup,stride,9109,0.9345
median_cap16,5,embedding_lookup,nn,10864,0.912
median_cap16,5,agent_rag,baseline,17026,0.833
median_cap16,5,agent_rag,stride,7939,0.9495
median_cap16,5,agent_rag,nn,8758,0.939
median_cap16,5,token_stream,baseline,13750,0.875
median_cap16,5,token_stream,stride,4039,0.9995
median_cap16,5,token_stream,nn,4273,0.9965
median_cap16,6,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,6,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,6,kv_cache_append,nn,51400,0.24005053695514844
median_cap16,6,embedding_lookup,baseline,17143,0.8315
median_cap16,6,embedding_lookup,stride,9109,0.9345
median_cap16,6,embedding_lookup,nn,10162,0.921
median_cap16,6,agent_rag,baseline,17026,0.833
median_cap16,6,agent_rag,stride,7939,0.9495
median_cap16,6,agent_rag,nn,8719,0.9395
median_cap16,6,token_stream,baseline,13750,0.875
median_cap16,6,token_stream,stride,4039,0.9995
median_cap16,6,token_stream,nn,4039,0.9995
median_cap16,7,kv_cache_append,baseline,65908,0.00505369551484523
median_cap16,7,kv_cache_append,stride,33538,0.5293746051800379
median_cap16,7,kv_cache_append,nn,50815,0.24952621604548325
median_cap16,7,embedding_lookup,baseline,17143,0.8315
median_cap16,7,embedding_lookup,stride,9109,0.9345
median_cap16,7,embedding_lookup,nn,10162,0.921
median_cap16,7,agent_rag,baseline,17026,0.833
median_cap16,7,agent_rag,stride,7939,0.9495
median_cap16,7,agent_rag,nn,8797,0.9385
median_cap16,7,token_stream,baseline,13750,0.875
median_cap16,7,token_stream,stride,4039,0.9995
median_cap16,7,token_stream,nn,4234,0.997
