trace,candidate,control,candidate_ipc,control_ipc,ipc_speedup,candidate_cycles,control_cycles,candidate_prefetch_requested,control_prefetch_requested,prefetch_request_reduction,candidate_prefetch_issued,control_prefetch_issued,prefetch_issue_reduction,candidate_dram_read_requests,control_dram_read_requests,dram_read_request_reduction,candidate_l2c_prefetch_misses,control_l2c_prefetch_misses,candidate_llc_prefetch_misses,control_llc_prefetch_misses,useful_prefetch_delta
602.gcc_s-734B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.7966870312216423,0.47158652903014814,1.6893761424018767,251039613,424100333,23676795,0,,8932156,0,,1910733,1895706,-0.007926862076714336,1514858,0,1497872,0,1604121
603.bwaves_s-3699B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.3784336584109496,1.377445964361933,1.0007170474011835,145092221,145196259,886535,0,,260503,0,,21082,21080,-9.487666034146969e-05,1102,0,1102,0,1100
605.mcf_s-665B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.40922686708895933,0.31795834239269505,1.2870455419079487,488726472,629013227,7199570,0,,5910285,0,,2036101,2027670,-0.0041579744238460226,1200886,0,1187592,0,1189939
607.cactuBSSN_s-2421B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.7410963609056257,0.7410963609056257,1.0,269870440,269870440,199,0,,199,0,,1535687,1535682,-3.2558824027972832e-06,5,0,5,0,0
619.lbm_s-4268B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.43557344330796005,0.4355187953599079,1.0001254778177988,459164823,459222438,50942,0,,7014,0,,9619047,9619048,1.0396039196169937e-07,3999,0,3011,0,535
620.omnetpp_s-874B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.41096423048744524,0.4107151507463923,1.0006064537444024,486660364,486955501,47178,0,,45928,0,,1984514,1983886,-0.0003165504469511138,2798,0,2602,0,2379
621.wrf_s-575B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.0798090655704387,1.0797995511953562,1.000008811241931,185217931,185219563,16593,0,,2863,0,,5890,5523,-0.0664493934455912,692,0,692,0,325
623.xalancbmk_s-700B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.8223148875154449,0.8215087467206038,1.000981293014906,243215835,243454501,3428427,0,,384479,0,,249042,245895,-0.012798145549929751,20665,0,6970,0,18306
625.x264_s-18B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.456553061986921,1.451080212389964,1.003771569311074,137310482,137828358,9686022,0,,300064,0,,112270,112203,-0.0005971319839932487,3590,0,3474,0,3643
627.cam4_s-573B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.0991251140040035,1.0986571416023194,1.000425949446796,181962908,182040415,493903,0,,155895,0,,1031350,1029959,-0.0013505391962205238,4717,0,2817,0,5785
628.pop2_s-17B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.1024613817152769,1.100774610131918,1.0015323496452708,181412252,181690239,1782617,0,,37122,0,,670706,669978,-0.001086602843675566,6300,0,5485,0,6064
631.deepsjeng_s-928B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.9522087841916926,0.9523978826137995,0.999801450186357,210037971,209996268,133134,0,,120123,0,,88734,88630,-0.0011734175786979328,482,0,143,0,316
638.imagick_s-10316B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,2.703370764069764,2.703370764069764,1.0,73981713,73981713,0,0,,0,0,,7827,7827,0.0,0,0,0,0,0
641.leela_s-800B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.9827093905075226,0.9815748776944212,1.0011558087303194,203518968,203754197,1171545,0,,871206,0,,63415,62894,-0.008283779056825757,3693,0,2869,0,12336
644.nab_s-5853B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.8459749520606087,0.8459749520606087,1.0,236413619,236413619,21,0,,21,0,,38951,38949,-5.134920023630585e-05,4,0,2,0,0
648.exchange2_s-1699B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.1797748798416987,1.180703492536853,0.9992135089791604,169523868,169390539,15631609,0,,1341219,0,,8,5,-0.6000000000000001,3,0,3,0,0
649.fotonik3d_s-1176B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,0.36122263804706733,0.3612113521778283,1.0000312445031725,553675163,553692454,146,0,,3,0,,1777755,1777716,-2.1938262354526117e-05,3,0,3,0,3
654.roms_s-842B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.6125381760348576,1.6125381760348576,1.0,124028072,124028072,30957,0,,30957,0,,28640,28638,-6.983727913967286e-05,2,0,2,0,0
657.xz_s-3167B.champsimtrace.xz,regularity_stride,no_l1d_prefetch,1.1952344389590488,1.1950010251316243,1.000195325211038,167331190,167363874,196066,0,,129685,0,,209410,208904,-0.0024221652050702147,3264,0,720,0,4969
600.perlbench_s-210B.champsimtrace.xz,regularity_stride,raw_stride,1.1077497368471265,1.1079456304266866,0.9998231920645018,180546195,180514273,37882,125506,0.6981658247414466,7099,80175,0.9114561895852822,10335,10557,0.021028701335606748,684,1273,681,1258,-344
602.gcc_s-734B.champsimtrace.xz,regularity_stride,raw_stride,0.7966870312216423,0.8330870963966976,0.9563070111966752,251039613,240070942,23676795,38258639,0.3811385972198331,8932156,11088388,0.19445856331867173,1910733,1914945,0.0021995409789837828,1514858,1601028,1497872,1580510,-90928
603.bwaves_s-3699B.champsimtrace.xz,regularity_stride,raw_stride,1.3784336584109496,1.3820585513248518,0.9973771784774044,145092221,144711670,886535,1012296,0.12423342579640739,260503,341301,0.23673531574768314,21082,21084,9.485866059566472e-05,1102,3368,1102,3368,-2265
605.mcf_s-665B.champsimtrace.xz,regularity_stride,raw_stride,0.40922686708895933,0.42154429632759677,0.9707802255991974,488726472,474445990,7199570,10782358,0.3322824191146315,5910285,8395986,0.29605825926817886,2036101,2035125,-0.00047957742153426075,1200886,1317997,1187592,1291407,-131004
607.cactuBSSN_s-2421B.champsimtrace.xz,regularity_stride,raw_stride,0.7410963609056257,0.7411725680530937,0.9998971802914021,269870440,269842692,199,1390,0.8568345323741007,199,1380,0.8557971014492753,1535687,1535445,-0.00015760903190931153,5,26,5,26,-12
619.lbm_s-4268B.champsimtrace.xz,regularity_stride,raw_stride,0.43557344330796005,0.43556583075661304,1.0000174773841506,459164823,459172848,50942,46299,-0.100282943476101,7014,7081,0.009461940403897806,9619047,9619049,2.0792076227404976e-07,3999,3982,3011,3062,-62
620.omnetpp_s-874B.champsimtrace.xz,regularity_stride,raw_stride,0.41096423048744524,0.41235618534385227,0.9966243871054188,486660364,485017587,47178,1529898,0.9691626500590236,45928,1149390,0.9600414132713875,1984514,1991259,0.0033873042130632136,2798,21740,2602,20686,-13973
621.wrf_s-575B.champsimtrace.xz,regularity_stride,raw_stride,1.0798090655704387,1.0797958142838455,1.000012272029969,185217931,185220204,16593,25532,0.3501096663011123,2863,4804,0.40403830141548713,5890,5921,0.005235602094240788,692,764,692,764,-41
623.xalancbmk_s-700B.champsimtrace.xz,regularity_stride,raw_stride,0.8223148875154449,0.824257792853526,0.9976428426216574,243215835,242642537,3428427,4006031,0.14418360716629497,384479,656845,0.41465794822218327,249042,250502,0.005828296780065578,20665,26672,6970,10342,-19163
625.x264_s-18B.champsimtrace.xz,regularity_stride,raw_stride,1.456553061986921,1.4568401320115665,0.9998029502219649,137310482,137283425,9686022,11722728,0.1737399349366462,300064,340775,0.1194659232631502,112270,112299,0.0002582391650860494,3590,3948,3474,3804,-401
627.cam4_s-573B.champsimtrace.xz,regularity_stride,raw_stride,1.0991251140040035,1.0994000079486619,0.9997499600303157,181962908,181917410,493903,2127762,0.7678767644125611,155895,675023,0.7690523137730122,1031350,1032707,0.0013140222735006368,4717,8899,2817,5942,-5587
628.pop2_s-17B.champsimtrace.xz,regularity_stride,raw_stride,1.1024613817152769,1.1065955116907,0.9962641001777544,181412252,180734514,1782617,3192643,0.44164850251030263,37122,306584,0.8789173603319156,670706,671113,0.0006064552467319739,6300,17391,5485,12217,-9586
631.deepsjeng_s-928B.champsimtrace.xz,regularity_stride,raw_stride,0.9522087841916926,0.951890076496028,1.0003348156510232,210037971,210108295,133134,1025511,0.8701778918022333,120123,577697,0.7920657368828296,88734,88796,0.0006982296499842278,482,896,143,260,-729
638.imagick_s-10316B.champsimtrace.xz,regularity_stride,raw_stride,2.703370764069764,2.703370764069764,1.0,73981713,73981713,0,6,1.0,0,6,1.0,7827,7827,0.0,0,3,0,3,0
641.leela_s-800B.champsimtrace.xz,regularity_stride,raw_stride,0.9827093905075226,0.9819626570012214,1.000760450003854,203518968,203673734,1171545,4372972,0.7320940998478838,871206,2411840,0.6387795210295873,63415,63487,0.0011340904437129318,3693,4341,2869,3381,-5073
644.nab_s-5853B.champsimtrace.xz,regularity_stride,raw_stride,0.8459749520606087,0.8456559714047184,1.00037719908175,236413619,236502794,21,140828,0.9998508819268895,21,136724,0.9998464058980135,38951,39039,0.0022541561003099897,4,1203,2,834,-18714
648.exchange2_s-1699B.champsimtrace.xz,regularity_stride,raw_stride,1.1797748798416987,1.179692660924957,1.0000696952006782,169523868,169535683,15631609,66974424,0.7666033081523776,1341219,1641562,0.18296171573172382,8,8,0.0,3,3,3,3,0
649.fotonik3d_s-1176B.champsimtrace.xz,regularity_stride,raw_stride,0.36122263804706733,0.3612248903279703,0.9999937648789902,553675163,553671708,146,296,0.5067567567567568,3,7,0.5714285714285714,1777755,1777716,-2.1938262354526117e-05,3,4,3,4,-1
654.roms_s-842B.champsimtrace.xz,regularity_stride,raw_stride,1.6125381760348576,1.6125381760348576,1.0,124028072,124028072,30957,30957,0.0,30957,30957,0.0,28640,28640,0.0,2,2,2,2,0
657.xz_s-3167B.champsimtrace.xz,regularity_stride,raw_stride,1.1952344389590488,1.1945096217002977,1.0006067906407647,167331190,167432725,196066,1936405,0.8987474211231639,129685,705237,0.8161114632385993,209410,210232,0.003909966132653486,3264,7081,720,1614,-6832
