trace,config,instructions,cycles,ipc,l1d_load_misses,prefetch_requested,prefetch_issued,useful_prefetch,useless_prefetch,l2c_prefetch_misses,llc_prefetch_misses,dram_read_requests,dram_write_requests,gate_decisions,gate_suppressed,module_issued
631.deepsjeng_s-928B.champsimtrace.xz,raw_stride,200000001,210108295,0.951890076496028,202767,1025511,577697,1045,5352,896,260,88796,35451,40750660,0,577697
631.deepsjeng_s-928B.champsimtrace.xz,regularity_stride,200000001,210037971,0.9522087841916926,203139,133134,120123,316,2784,482,143,88734,35464,40751579,162711,120123
638.imagick_s-10316B.champsimtrace.xz,no_l1d_prefetch,200000000,73981713,2.703370764069764,4615263,0,0,0,0,0,0,7827,0,,,
638.imagick_s-10316B.champsimtrace.xz,official_ip_stride,200000000,73981713,2.703370764069764,4615263,6,6,0,5,3,3,7827,0,,,
638.imagick_s-10316B.champsimtrace.xz,raw_stride,200000000,73981713,2.703370764069764,4615263,6,6,0,5,3,3,7827,0,34513167,0,6
638.imagick_s-10316B.champsimtrace.xz,regularity_stride,200000000,73981713,2.703370764069764,4615263,0,0,0,0,0,0,7827,0,34513167,2,0
641.leela_s-800B.champsimtrace.xz,no_l1d_prefetch,200000001,203754197,0.9815748776944212,245524,0,0,0,0,0,0,62894,14515,,,
641.leela_s-800B.champsimtrace.xz,official_ip_stride,200000001,203673734,0.9819626570012214,238591,4372972,2411840,17409,9123,4341,3381,63487,14752,,,
641.leela_s-800B.champsimtrace.xz,raw_stride,200000001,203673734,0.9819626570012214,238591,4372972,2411840,17409,9123,4341,3381,63487,14752,43077553,0,2411840
641.leela_s-800B.champsimtrace.xz,regularity_stride,200000001,203518968,0.9827093905075226,242382,1171545,871206,12336,8988,3693,2869,63415,14714,43079527,654835,871206
644.nab_s-5853B.champsimtrace.xz,no_l1d_prefetch,200000000,236413619,0.8459749520606087,495810,0,0,0,0,0,0,38949,643,,,
644.nab_s-5853B.champsimtrace.xz,official_ip_stride,200000000,236502794,0.8456559714047184,492535,140828,136724,18714,10801,1203,834,39039,645,,,
644.nab_s-5853B.champsimtrace.xz,raw_stride,200000000,236502794,0.8456559714047184,492535,140828,136724,18714,10801,1203,834,39039,645,49157298,0,136724
644.nab_s-5853B.champsimtrace.xz,regularity_stride,200000000,236413619,0.8459749520606087,495813,21,21,0,14,4,2,38951,643,49157172,60069,21
648.exchange2_s-1699B.champsimtrace.xz,no_l1d_prefetch,200000001,169390539,1.180703492536853,1,0,0,0,0,0,0,5,0,,,
648.exchange2_s-1699B.champsimtrace.xz,official_ip_stride,200000001,169535683,1.179692660924957,1,66974424,1641562,0,0,3,3,8,0,,,
648.exchange2_s-1699B.champsimtrace.xz,raw_stride,200000001,169535683,1.179692660924957,1,66974424,1641562,0,0,3,3,8,0,35269874,0,1641562
648.exchange2_s-1699B.champsimtrace.xz,regularity_stride,200000001,169523868,1.1797748798416987,1,15631609,1341219,0,0,3,3,8,0,35270444,1053987,1341219
649.fotonik3d_s-1176B.champsimtrace.xz,no_l1d_prefetch,200000000,553692454,0.3612113521778283,13198901,0,0,0,0,0,0,1777716,1753230,,,
649.fotonik3d_s-1176B.champsimtrace.xz,official_ip_stride,200000002,553671708,0.3612248903279703,13198961,296,7,4,0,4,4,1777716,1753228,,,
649.fotonik3d_s-1176B.champsimtrace.xz,raw_stride,200000002,553671708,0.3612248903279703,13198961,296,7,4,0,4,4,1777716,1753228,70153780,0,7
649.fotonik3d_s-1176B.champsimtrace.xz,regularity_stride,200000003,553675163,0.36122263804706733,13199056,146,3,3,0,3,3,1777755,1753228,70153778,7,3
654.roms_s-842B.champsimtrace.xz,no_l1d_prefetch,200000001,124028072,1.6125381760348576,45845,0,0,0,0,0,0,28638,2906,,,
654.roms_s-842B.champsimtrace.xz,official_ip_stride,200000001,124028072,1.6125381760348576,45845,30957,30957,0,34,2,2,28640,2912,,,
654.roms_s-842B.champsimtrace.xz,raw_stride,200000001,124028072,1.6125381760348576,45845,30957,30957,0,34,2,2,28640,2912,26871160,0,30957
654.roms_s-842B.champsimtrace.xz,regularity_stride,200000001,124028072,1.6125381760348576,45845,30957,30957,0,23,2,2,28640,2907,26871160,0,30957
657.xz_s-3167B.champsimtrace.xz,no_l1d_prefetch,200000001,167363874,1.1950010251316243,712248,0,0,0,0,0,0,208904,160822,,,
657.xz_s-3167B.champsimtrace.xz,official_ip_stride,200000001,167432725,1.1945096217002977,706747,1936405,705237,11801,17531,7081,1614,210232,161235,,,
657.xz_s-3167B.champsimtrace.xz,raw_stride,200000001,167432725,1.1945096217002977,706747,1936405,705237,11801,17531,7081,1614,210232,161235,43056461,0,705237
657.xz_s-3167B.champsimtrace.xz,regularity_stride,200000001,167331190,1.1952344389590488,706766,196066,129685,4969,6113,3264,720,209410,160986,43056678,236919,129685
